Song,Release Year
"Cool (feat. Marc E. Bassy, Gucci Mane)",
Friends (with BloodPop®),2017
Dangerous Night,2018
Que Va,
With Me,
Dreamer,
You Are The Reason - John Gibbons Remix,2017
Get It Right (feat. MØ),
For You (Fifty Shades Freed) (& Rita Ora),2018
Báilame - Remix,
Scared To Be Lonely - Brooks Remix,2017
Roses - Zaxx Remix,2015
Electricity (with Dua Lipa),2018
Promises (with Sam Smith),2018
Panic Room,
What About Us - Tiësto's AFTR:HRS Remix,2017
Just Got Paid,2018
I Want You to Freak - James Hype Remix,2018
Leave a Light On - Cheat Codes Remix,2017
Do You Think About Me,
Ocean (feat. Khalid) - David Guetta Remix,
079ME (Blinkie Remix),
Lullaby,2018
Love Lies - Snakehips Remix,2018
One Kiss (with Dua Lipa),2018
"Dusk Till Dawn - John ""J-C"" Carr Mix",
Moves (feat. Snoop Dogg) - Sebastian Perez Remix,
So Real (Warriors) (feat. Jess Glynne),
17,2017
In My Mind,
Show Me Love,1990
Hysteria,
Side Effects (feat. Emily Warren),2018
Ain't My Fault - R3hab Remix,2016
Back & Forth,
Silence - Blonde Remix,2017
Worst (feat. Johnny Yukon),
Paradise - Bakermat Remix,2018
Between You and Me,
Spread Love (Paddington) [feat. DVNO],
German - Majestic Remix,
Wavey - VIP Mix,2017
White Tiger - Marcus Layton Radio Edit,
Don't Look Down (feat. Usher),2015
Dreams,1993
I Would Like - Gorgon City Remix,2016
Fine Girl - James Hype Remix,
Light It Up (feat. Nyla & Fuse ODG) - Remix,
Nights With You - Cheat Codes Remix,2017
All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,2013
Baddest - Blinkie Remix,
Moves Like Jagger - Studio Recording From The Voice Performance,2011
Wild Ones (feat. Sia),2011
The Mack,1996
Turn Me Out,1979
Let Me Love You - Tiësto's AFTR:HRS Mix,2016
Don't Need No Money (feat. Sigala & Blonde),2016
Levels - Radio Edit,2011
The Girl Is Mine feat. Destiny's Child & Brandy,2015
Don't Leave - Gryffin Remix,
Where'd U Go,
Snow In Gothenburg,
Leaving (feat. Yuna),
Pick Up - Even Shorter Version,
Ocean,
Symphony,
Focus - Netsky Remix,
Falls (feat. Sasha Sloan),
Take You Down,
Weapon - EDX's Acapulco At Night Remix,
Underwater,2018
All Your Love,
Wake Me When It's Quiet,
Aldrig Mer (feat. TENDER),
The Funeral - Excision Remix,
Cold as Stone,
Young,1959
17 - 6am Remix,2017
Somebody - Ruhde Remix,
I Miss You (feat. Julia Michaels) - BLVK JVCK ReVibe,2017
I Wanna Know,2018
Alone,2013
Just For A Moment (feat. Iselin),
Mean To Me (feat. ROZES),
Another Chance (Don Diablo Edit),
Here on My Own,1980
Rear View,
Know This Love (feat. Litens),
Coda,
Happier - Kasbo Remix,2018
Wasted Love (feat. Dougy),2014
With You (feat. Wrabel),
Wherever,
Tearing Me Up,
Destinations,2015
The Funeral - Dash Berlin Remix,2006
Finest Hour (feat. Abir),
Without You,
Rain,
I Need You (feat. Olaf Blackwood),
Missing U,2018
Miracle - Manila Killa Remix,
Beautiful Heartbeat,
Sound of Walking Away,2017
Into You,
Lie,
On My Own - ZAXX Remix,
No More Chances,1957
Sun & Moon - Marcus Schossow Remix,
A Love That's Hard to Find - Radio Edit,
Hurricane - Arty Remix,2014
Happy Again,
With You,
Innerbloom,2015
Save Myself,
Over Getting Over You,
With Every Heartbeat,2007
Teenage Hurt,
Feels Like We're Dying,
temporary nothing,
I Know You So Well,1984
Just Fine,
Sick of Losing Soulmates,
Idle Town,
Home Alone,
Pretend,
A Shitty Love Song,2015
And Also I'm Really Scared,
all the lonely nights in your life,
Sad Boy,
feelings are fatal,
Just how I love you,
A Letter to My Younger Self,
Dear,2007
Spaceland,
The Moon Song,2014
I Will Be Okay,2005
Lua,2004
How To Never Stop Being Sad,
please don't,
Disappointed,1992
Choking on Flowers,
Our Way to Fall,
Neptune,
Nothing Special,
"If You Love Me, Come Clean",
I Was,
Nascar,
Coffee,
Brave,
Wendy,
Drunk Text Romance,
Lonely,
All the Things,
Someone Who Will Talk About Anything,
Chinatown,
I Think You're Really Beautiful,
ILY x11,
Please Never Fall in Love Again,
Judas in America,
Adult Nightmares,
please don't give up on me,
Controlar,
Be Home Soon,
Peppermint Smiles,
Eyes,
Not Part of the Broken Hearts Club,
La Vida Es Un Carnaval,1998
Amor y Control,1992
El Cantante,
Aquél Viejo Motel,
Mala Mujer,
Un verano en Nueva York,
Sonido Bestial,1971
Quimbara,
Pedro Navaja,1978
Plastico,
Cabo E,
Entre La Espada y La Pared,
Juana Peña,
Catalina La O,
Contrabando ( Contraband ),
Aguzate,1970
Acángana,
Chan Chan,1997
Decisiones,
Tambo,
Mi Jaragual,
La Cartera,
Llora Timbero,
Te Estan Buscando,
Rompe Saraguey,1975
Senor Sereno,
La Palomilla,
Un Dia Bonito,
El Caballo Pelotero,
Puerto Rico,
Cafe,
Dime Por Que,
Cuando Cuando,
Isabel (Isabel),
El Agua de Belén,
Bravo De Verdad,
La Leyenda,
Perfume De Rosas,
Aunque Tú,
Quisiera Yo Tener,
Entre Dos Mujeres,
Mi Ritmo Es Bueno,
Amame en Camara Lenta,
Calle Luna Calle Sol,
Sueño Contigo,
Tu No Sabes Querer,
Medley,
Detalles,
Yambeque,
Usted Abusó,
Conciencia,
Mi Media Mitad,
Siempre Seré,
Caricias Prohibidas,
Te Va a Doler,
Ese Hombre,1994
Mi Libertad,
Cara de Niño,
Hasta Que Te Conoci,1986
Ella Es,
Cinco Noches,
Porque Te Amo,
Tù No Le Amas Le Temes,
Juguete De Nadie,
Cuándo Parará La Lluvia,
Pensamiento y Palabra,
Me Liberé,
Arrepentida,
Herida,
Salsa Con Coco,
Me Tengo Que Ir,
De Mí Enamórate,1986
Qué Hay de Malo,
Sobredosis,
Dile a Ella,
Amor Traicionero,
Juliana,
Pagina Del Amor,
Por Eso Está Conmigo,
Un Alto en el Camino,
Lloraras,
Caradura,
Aparentemente,
Lady Laura,
Pequeñas Cosas,
Amor y Control,1992
A Corazón Abierto,
La Quiero A Morir,
Gotas De Lluvia,
La Vida Es Un Carnaval,1998
El Apartamento,
Discúlpeme Señora,
"Oiga, Mire, Vea - Salsa",
Amores Como el Nuestro,
Llorando,
Un Verano En Nueva York,
No Le Temas A El,
Londres,
Mira Mis Ojos (No Pude Olvidarte),
Procura,
La Cartera,
Ojos Chinos,
Comerte A Besos - Salsa Version,
Detalles,
Amor Narcótico,
Que Locura Enamorarme De Ti,
Eres,
Azucar,
Princesa,
Sedúceme - Tropical Version,
La Muerte,
Dejala,
Señora Ley,
Amiga,
Los Rodriguez,
Vendedora de Amor,
Vuelvo A Sentir,
Llorandote,
A Toda Cuba Le Gusta,
Disco Azúcar,
El Cuarto De Tula,1997
La Sirena,
Un Tipo Como Yo,
Siboney,
Talented,
Immigrant,
Dust,
Maintain,
Ya Nour El Ein,
Beautiful (feat. Camila Cabello),2018
Habiby Da - Remix,
Nos Fuimos Lejos (feat. El Micha & RedOne) - Arabic Version,2018
No Stylist,2018
Cold Blooded,1983
Chanel,2017
What You Want,
"Hold On, We're Going Home",2013
بدك عناية (feat. Gente de Zona),
Leily Leily,
Yalli Naseeni,
Ya Lili,2016
Unforgettable,2017
Ya Baba,
Bayen Habeit,
Clandestino,2018
Ah Ya Albi,
Habibi Albi,
Zooted (feat. French Montana & Farruko),
"Don't You Need Somebody (feat. Enrique Iglesias, R. City, Serayah & Shaggy)",2016
Mi Gna - Remix,2016
Number One,
La Cintura (feat. Flo Rida & TINI) - Latin Remix,
Tip Toe (feat. French Montana),2017
Roll With It,
لا جوزاديرا (feat. Marc Anthony & Gente de Zona) - Arabic Version,
Zara (feat. Abir),2017
Te ka lali shpirt,
Hiya Hiya,2012
Te Ma Etmaje (feat. DJ Wirtual),
Yalla Habibi - Summer Hit,
Alabina - Original 1996,1996
Boom Boom,2017
Maintain,
8 Letters - R3HAB Remix,
Finest Hour (feat. Abir) - Savi Remix,
Tune In,
You're Gold,1995
Corazón,
What We Said (feat. MAGIC!) - Comme moi English Version,2017
Had el Lilla,
Un gaou à Oran - Bonus track,
N'Brik N'Brik,
Lala Fatéma,
The Wave,
Ahla Haga Feeki - DJ Mix,
R.E.D.,
I Lied,2017
Saian,
Framed,2017
Band of Gypsies - Edit,
Somos Sur,
Leila,
Salma Ya Salama (Olé Y Ola),
Salam - Original Mix,
Nur El Ain,1996
Carry the Earth,
Whatchamacallit (feat. Chris Brown),
FLIP THE SWITCH (feat. Drake),2018
Sunflower - Spider-Man: Into the Spider-Verse,2018
Hopeless Romantic (feat. Swae Lee),2018
MIA (feat. Drake),2018
Better,2018
Wake Up in the Sky,2018
Trip,2018
Dip,2018
Dark Side Of The Moon (feat. Nicki Minaj),
Climax (feat. 6lack),
Wish I (feat. Tory Lanez),
WAKE UP,
Kamikaze,
Switch,
Tints (feat. Kendrick Lamar),
Ordinary Day (ft. Hailee Steinfeld),
SWING (feat. Normani & Davido),
Way Too Fly (feat. DaVido),
The Weekend (feat. Young Thug & Swizz Beatz),
Can't Get Enough,2011
Imagine (feat. Simon Sayz & Crystal Torres),
Right Here (feat. Eric Bellinger),
Goin Thru Some Thangz,2018
Greet Her,
Old Age,
Tribe (with J. Cole),2018
Fall,
Time Of My Life,1987
Birthday,
Tap Out (feat. Jeremih),2018
TONYA,
"Give It Up (Remix) (feat. Bad Bunny, Tory Lanez & Flow Mafia)",
What About Me (feat. Sosamann),2018
Thought I Knew You (feat. The Weeknd),2018
Dangerous (feat. Jeremih and PnB Rock),2018
Ring (feat. Kehlani),2018
East Atlanta Love Letter (feat. Future),2018
High (feat. Elton John),2018
SWISH,2018
Throw A Fit,2018
Make Me Feel,
Neighbor (feat. Travis Scott),
Last Forever feat. Rick Ross and Snoop Dogg,
FEFE (feat. Nicki Minaj & Murda Beatz),2018
Playinwitme (Remix) [feat. Logic and Kehlani],2018
Ooh Yea (feat. Ty Dolla $ign),
Creep On Me,
Moment (feat. Wiz Khalifa),
Trippin' (feat. Khalid),
Missin You Crazy,
Exhausted (feat. TK Kravitz),
KeeP IN tOUcH (feat. Bryson Tiller),
Put You On,
How Dat Sound (feat. 2 Chainz & Yo Gotti),
Smile (Living My Best Life) (feat. Snoop Dogg & Ball Greezy),
Cana (feat. 24hrs),
Might Be (feat. Gucci Mane),
Rewind,
Taste (feat. Offset),2018
Don't Mess (feat. YG),2014
Wish - Trippie Mix,2018
ABCD (Friend Zone),
TAlk tO Me (with Rich The Kid),2018
Boo'd Up (with Nicki Minaj & Quavo) - Remix,
Ball For Me (feat. Nicki Minaj),2018
Hot Summer,
Better Now,2018
Heaven,1985
Summertime Magic,2018
Ladders,
Bed (feat. Ariana Grande),2018
Guatemala (feat. Slim Jxmmi) - From Swaecation,
Walking Trophy (feat. Trey Songz & Fabolous) - Remix,
Undercover,
Before You Get a Boyfriend.,
In My Feelings,2018
Potato Salad,
Ganja Burn,2018
APESHIT,2018
Mob Ties,2019
BUBBLE GUM,
Bigger Than You (feat. Drake & Quavo),
Tell Me Why,
Don't Fall For It,
Late Night Messages,2018
Pretty Girl,
Moving On,
Pa Mi (with Ozuna),
The Light,2018
Ocean (feat. Jacquees),
1999 WILDFIRE,1999
Down Bitch,
Boca Raton (with A$AP Ferg),
Hey Up There,
Got Friends,
Pretending (feat. Jessie Reyez),
Drop,
B.I.D,
Bang Bang,2014
Don't Tell 'Em - DaaHype Remix,2014
Loyal,2013
Chandelier - Plastic Plates Remix,2014
Outsiders,2014
Drunk in Love,2013
Studio,
No Mediocre,2014
BO$$,2014
Bad Girls,2010
I'm Gone - Ovylarock Remix,
Live for the Night - Dash Berlin Remix,2013
Reckless,
Louder - Extended Mix,
Believe - Radio Edit,
Back 2 U,2016
Faded - Tiesto's Northern Lights Remix,2015
Ecuador - Extended Mix,1997
L'Amour Toujours - Tiësto Edit,2000
Tsunami - Original Mix,2013
Red Lights,2013
Habits (Stay High) - The Chainsmokers Radio Edit,2013
On My Way,2015
Let's Get F*cked Up,
Reload - Vocal Version / Radio Edit,2012
Heroes (we could be),2014
House Work,2016
Secrets,2015
Calling (Lose My Mind) - Radio Edit,2012
Zero Gravity - Radio Edit,
Karate - Original Mix,2014
Young Again,2014
Don't Let Me Down,2016
Broken Record,
Sally,2015
Sun Is Shining,2015
Flashlight - Original Mix,
Bring Back the Summer (feat. OLY),
Liberate,2014
Black - Original Mix,
Breathe,2016
Till The Sky Falls Down - Vocal Mix,
The Black Pearl - Body Bangers Edit,
Burnin,2014
Long Story Short - Bodybangers Remix Edit,1980
Are You with Me - Dimaro Remix,2016
Live The Night,2016
Blue (Da Ba Dee) - Sound of Legend Edit,1998
Hit The Deck,
In My Mind,
Need You,
90s Better,
Ain't That Why - Skytech Remix,
Salta,
Magenta Riddim,
Rub A Bum,
MOVE TO MIAMI,2018
To the Max,
Put It On (feat. Craigy T),
Make Some Noise (feat. Mc Stik-E),
Flashed Junk Mind,2014
Amber,
All Right,
Levitate,
Guitar Beat,
What You Know,2011
Burn the House Down,
Ordinary Girl,2007
Ways To Go,
Island In The Sun,2001
Jungle (Radio Edit),
Dive,
Electrified,
Visions (Featuring Chloe Chaidez of Kitten),
Nico And The Niners,2018
Tidal Wave,2017
Saturday Sun,2018
Milk & Coffee,
Vacation,
End of summer (now I know),
Youth,
Painting (Masterpiece),2016
Walk on the Moon (feat. Lynx),
Tell Me Tell Me,
Ride Or Die (feat. Foster The People),
Falling Down,
Talk Too Much,2016
Carried Away,
Sit Next to Me,2017
Someday - Remastered,1999
Sober Up,2018
these are my friends,2018
Stone Love,1987
Mistakes Like This,
Celebrate (feat. The Unlikely Candidates) [Alt Edit],
World on Fire,
What's My Age Again?,1999
Golden Age,
Today Is The Day,
Lula On The Beach,2017
Window,
Are You High?,
Cocoon,2016
Tijuana Sunrise,2017
Celebrate,
Walking On A Dream,2007
Straight Jacket,
Around The World,2016
Doin' Time,1997
Ride,2016
Firebird,
Gooey,
Million Bucks,
Visions,
Hollow Life,
Sick Love,2016
Dance All Night,
Something Here,
Life Itself,
Doing Good,
Girlfriend,
Roll Up,
Set On Fire,
Pockets Full Of No,
Dark Necessities,2016
Red Dress,2016
That's All I Need,
The Way It Was,
Feels Like Summer,2017
HandClap,2016
Ego,
Sweet Disaster,
Bad News,1987
Little Green Bag,1969
What Am I Becoming?,2016
Sail Into The Sun,
Home,
Only the Wild Ones,
Mr. Jones,1993
Semi-Charmed Life,1997
Classic (feat. POWERS),2014
Ain't No Rest for the Wicked,2008
Are You What You Want to Be?,2014
Got To My Head,
Good Morning,
Says She Loves Me,
No Type,2014
Corona And Lime,2008
Drive,2000
Santeria,1997
All Mixed Up,1996
Beautiful Girl,1993
Bad Habit,2014
Little Secrets,2009
Tongue Tied,2011
Wherever You Go,
Son's Gonna Rise - New Radio Mix,
Send Me On My Way,1995
Blister In The Sun,1983
Day By Day,
Whatever It Takes,2017
New Light,2018
You Say,
Apologize,2006
broken,2017
I'm Yours,2005
I'm Not The Only One,2014
In My Blood - Acoustic,2018
Head Above Water,2019
Let Her Go,2012
Chasing Cars,2006
Dive,2017
Water Under the Bridge,2016
Issues,2017
Stay With Me,2014
Back In Brazil,2018
Love Someone,2018
Have It All,
Say You Won't Let Go,2016
Guiding Light,2018
Whatever You Want,2018
Take A Bow,2008
Enough for You,
All of Me,2013
Africa,1982
Fuh You,2018
Hurt Somebody (With Julia Michaels),2017
I'll Never Love Again - Film Version,2018
joy.,
Too Good At Goodbyes,2017
Younger,
Thinking Out Loud,2014
Lights Down Low,2016
Just The Way You Are,2010
The Scientist,2002
Love You Anymore,2018
Might Not Like Me,
Till I Found You,2018
Like I'm Gonna Lose You,2015
Known,2018
Mercy,2016
You,
Light On,
Let You Love Me,2018
Fool,
If You Were Mine,
Connection,
Photograph,2015
Amen,
You Are The Reason,2017
1950,1950
Wild Wild Son,2018
Hall of Fame,2012
Drive,
Imagine / What a Wonderful World,2018
Symphony - Recorded at Spotify Studios NYC,
Set Fire to the Rain,2011
Love Yourself,2015
All My Friends,
Meant to Be (feat. Florida Georgia Line),2017
Grateful (feat. Poo Bear),
Loyal,
Nevermind,2016
Grace,2018
Ahead Of Myself,2017
See You Again (feat. Charlie Puth),2015
Shape of You,2017
A Song With No Name,
Fix You,2005
I Do,
Someone Like You,2011
Shotgun,2018
Come Together,
The One,2015
Perfect Duet (Ed Sheeran & Beyoncé),2017
See You Again,
Scars To Your Beautiful,2016
One Call Away,2015
Empress,2018
A Million Lights,2018
One In A Million,
Take It All Back 2.0,2016
Used To Be,
Let It Go,2014
Melody,
Delicate,2018
Please Don't Go,2015
Need You Like That,1956
Nothing to Regret,
Wish You Well,
Story of My Life,2013
Take Me to Church,2013
You're Beautiful,2005
home ft. WALK THE MOON,
What About Us,
Follow,
Be Alright,2018
Role Models,
Lost Boy,2015
Celebrate Life,
Rolling in the Deep,2010
Take Me To Church,
Halo,2009
I'm Yours,2005
Royals,2013
All of Me,2013
Chandelier,2014
Counting Stars,2013
Shape of You,2017
Scars To Your Beautiful,2016
New Rules,2017
Havana,2017
Perfect Duet (Ed Sheeran & Beyoncé),2017
Crazy,2006
What About Us,
Rude (Acoustic),2014
Cheerleader - Felix Jaehn Remix Radio Edit,2012
Closer,2016
Let Her Go,2012
Radioactive,2012
Ophelia,2016
Clandestino,2018
Too Good At Goodbyes,2017
Sorry Not Sorry,2017
Under The Bridge,1992
Hello,2015
Saturday Sun,2018
Problem,2014
Despacito (Featuring Daddy Yankee),2017
Bang Bang,2014
Uptown Funk,2014
Dark Horse,2013
Starving,2016
Be Alright,2018
Eastside (with Halsey & Khalid),2018
Pompeii,2013
Worth It,2015
Shut Up and Dance,2014
Wake Me Up,2013
Best Day Of My Life,2013
In My Feelings,2018
Boom Clap,2014
Thunder,2017
Let It Go - James Bay Spotify Session 2015,2015
Believer,2017
Blurred Lines,2013
Riptide,2013
Anaconda,2014
Slow Hands,2017
The Man,2014
Stay (with Alessia Cara),2017
Mirrors,2013
Budapest,
Shake It Off,2014
Over My Head (Cable Car),2005
I Will Wait,2012
Bleeding Love,2007
The Night We Met,2017
We Can't Stop,2013
Drive,2000
Heart Attack,2013
Underneath It All - Acoustic Live - German Radio,2002
I Like Me Better,2017
Don’t Matter To Me,2018
Sign of the Times,2017
Side To Side,2016
Starboy,2016
1-800-273-8255,2017
That's What I Like,2017
Castle on the Hill,2017
Slow Dancing in a Burning Room,2006
Let Me Love You,2016
One Dance,2016
Body Like A Back Road,2017
Send My Love (To Your New Lover),2016
Yellow,2000
Million Reasons,2016
She Will Be Loved - Acoustic,2004
Somewhere Only We Know,2004
Shout Out to My Ex,2016
Meant to Be (feat. Florida Georgia Line),2017
No One - Acoustic,2007
First Time,2017
I Don't Want to Be - Stripped Version,2004
Boston,2005
You're Beautiful,2005
If I Were a Boy,2008
A Thousand Miles (Live Acoustic),
Wake Me Up When September Ends,2005
Lost in My Mind,
FourFiveSeconds,2015
September,1978
Stand By Me,1961
I Wanna Dance with Somebody (Who Loves Me),1987
Walking On Sunshine,1985
Footloose,1984
Crazy,2006
Don't Stop Believin',1981
Uptown Girl,1983
Dancing in the Moonlight,1972
Don't Go Breaking My Heart,1976
9 to 5,1980
Here Comes The Sun - Remastered,1969
I WILL SURVIVE,1978
Don't Stop Me Now - Remastered,1979
You Make My Dreams,1980
We Are Family,1979
Sweet Dreams (Are Made of This) - Remastered,1983
I Want It That Way,1999
Shut Up and Dance,2014
Take on Me,1984
If I Could Turn Back Time,1989
How Will I Know,1985
All Star,1999
This Love,2004
Jump - 2015 Remastered Version,2015
Holiday,1983
Don't Stop 'Til You Get Enough - Single Version,1979
Material Girl,1985
Shape of You,2017
I'm Gonna Be (500 Miles),1988
You Can't Hurry Love,1966
FourFiveSeconds,2015
Come Together - Remastered 2009,2009
Should I Stay or Should I Go - Remastered,1982
Hey Ya! - Radio Mix / Club Mix,2003
Come On Eileen,1982
It's Not Unusual,1965
Crazy in Love,2003
"Hey, Soul Sister",2009
Mr. Brightside,2003
You Can Call Me Al,1986
Hips Don't Lie,2006
I'm Yours,2005
I Kissed A Girl,2008
We Didn't Start the Fire,1989
Rolling in the Deep,2010
Fame,1980
Ex's & Oh's,
Forget You,2010
Wake Me Up - Radio Edit,2013
Wannabe,1996
You Sexy Thing,1975
Hot N Cold,2008
The Lazy Song,2011
Oops!...I Did It Again,2000
Viva La Vida,2008
Shake It Off,2014
Billie Jean,1983
Uptown Funk,2014
Africa,1982
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,2007
You Give Love A Bad Name,1986
The Best - Edit,1988
Escape (The Pina Colada Song),1979
Rehab,2006
Call Me Maybe,2011
Love Yourself,2015
Let It Be - Remastered 2009,2009
Believe,1998
Hey There Delilah,2006
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2016
